4, 1, STUART-BROAD, WILL-YOUNG, R, 80.401, 7.02, -0.45, -0.06, 0.94, 0.09, 0.75, 0, 0.000, 0.000, 12:38:00, 2022/06/13, -0.699805, 9.333096, -11.900763, -7.755539, P, D, -0.906739, 2.016599, -0.203808, 3.297714, -0.010700
4, 2, STUART-BROAD, WILL-YOUNG, R, 81.622, 7.18, -0.60, -0.41, 0.92, -0.17, 0.32, 0, 0.000, 0.000, 12:38:41, 2022/06/13, -0.678542, 9.053852, -11.982316, -7.981066, N, N, -0.792114, 2.015514, -0.495809, 3.354533, -0.024777
4, 3, STUART-BROAD, WILL-YOUNG, R, 81.624, 6.35, -0.58, -0.72, 0.79, -0.82, -1.69, 0, 0.000, 0.000, 12:39:16, 2022/06/13, -0.649802, 8.507384, -11.901025, -6.858935, M, D, -0.779887, 2.032876, -1.600558, 2.081073, -0.094656
4, 4, STUART-BROAD, WILL-YOUNG, R, 82.498, 5.50, -0.39, -0.14, 0.60, 0.45, 0.45, 0, 0.000, 0.000, 12:39:54, 2022/06/13, -0.593693, 7.368720, -11.188796, -6.237535, P, D, -0.822624, 2.018257, 0.438761, 2.789717, 0.029863
4, 5, STUART-BROAD, WILL-YOUNG, R, 80.415, 8.85, -0.46, -0.37, 0.86, 0.01, -0.90, 0, 0.000, 0.000, 12:40:33, 2022/06/13, -0.534540, 8.024879, -13.624011, -9.545023, E, D, -0.704316, 2.001827, -0.207390, 2.486927, -0.008075
4, 6, STUART-BROAD, WILL-YOUNG, R, 83.141, 4.03, -0.27, -0.12, 0.47, 0.54, -0.29, 4, 174.000, 24.000, 12:41:08, 2022/06/13, -0.617585, 7.018705, -10.680156, -5.179373, P, A, -0.804093, 2.033192, 0.469261, 2.640124, 0.039244
5, 1, JAMES-ANDERSON, DEVON-CONWAY, L, 84.258, 8.32, 0.43, 0.03, 0.93, -0.13, 0.76, 0, 0.000, 0.000, 12:42:19, 2022/06/13, -0.586223, 8.509462, -13.196485, -9.480886, P, D, 1.023090, 2.049263, 0.276654, 3.147470, 0.010995
5, 2, JAMES-ANDERSON, DEVON-CONWAY, L, 82.934, 6.73, 0.51, 0.24, 0.78, 0.34, 0.29, 0, 0.000, 0.000, 12:42:50, 2022/06/13, -0.628329, 8.243875, -12.124190, -7.728058, P, D, 1.064600, 2.066722, 1.065197, 2.978116, 0.058328
5, 3, JAMES-ANDERSON, DEVON-CONWAY, L, 83.567, 7.31, 0.57, 0.19, 0.93, 0.31, -0.79, 0, 0.000, 0.000, 12:43:26, 2022/06/13, -0.667352, 9.038276, -12.399696, -8.374330, E, D, 1.023334, 2.060815, 1.012614, 3.155488, 0.048676
5, 4, JAMES-ANDERSON, DEVON-CONWAY, L, 80.200, 5.47, 0.29, -0.05, 0.63, 0.54, -0.54, 1, -46.000, -129.000, 12:44:02, 2022/06/13, -0.629581, 7.678839, -11.369249, -6.764135, P, A, 1.039008, 2.082956, 1.516288, 2.990388, 0.096919
5, 5, JAMES-ANDERSON, WILL-YOUNG, R, 79.505, 5.32, -0.22, -0.26, 0.68, -2.17, -0.90, 0, 0.000, 0.000, 12:44:59, 2022/06/13, -0.639061, 8.417912, -11.852236, -6.191790, P, D, -0.580102, 2.090093, -3.961071, 1.357257, -0.264194
5, 6, JAMES-ANDERSON, WILL-YOUNG, R, 83.597, 8.18, -0.32, 0.02, 0.98, 0.18, 0.80, 0, 0.000, 0.000, 12:45:29, 2022/06/13, -0.620551, 8.841339, -12.966848, -9.427462, P, D, -0.572691, 2.055469, 0.170547, 3.479585, 0.006784
6, 1, STUART-BROAD, DEVON-CONWAY, L, 81.399, 4.40, -0.10, -0.35, 0.59, 0.82, 0.35, 0, 0.000, 0.000, 12:46:45, 2022/06/13, -0.690659, 8.253159, -11.107035, -5.458868, M, A, 0.890243, 2.068182, 1.807306, 2.575152, 0.150323
6, 2, STUART-BROAD, DEVON-CONWAY, L, 84.442, 5.35, 0.48, 0.27, 0.65, 0.13, -0.42, 0, 0.000, 0.000, 12:47:23, 2022/06/13, -0.662529, 7.844437, -10.910351, -6.497388, M, D, 0.917529, 2.037045, 0.537164, 3.499589, 0.035713
6, 3, STUART-BROAD, DEVON-CONWAY, L, 81.999, 5.64, 0.36, 0.12, 0.73, 0.14, 0.03, 4, 104.000, -21.000, 12:48:03, 2022/06/13, -0.698742, 8.405152, -11.221389, -6.373536, P, A, 0.907878, 2.016857, 0.607188, 2.973726, 0.040957
6, 4, STUART-BROAD, DEVON-CONWAY, L, 81.245, 6.91, 0.45, 0.24, 0.79, -0.11, 0.42, 0, 0.000, 0.000, 12:48:47, 2022/06/13, -0.630906, 8.094824, -11.997889, -7.539984, P, D, 0.870501, 2.024964, 0.116422, 2.973154, 0.006421
6, 5, STUART-BROAD, DEVON-CONWAY, L, 80.183, 6.21, 0.36, 0.35, 0.80, 1.65, 1.33, 0, 0.000, 0.000, 12:49:22, 2022/06/13, -0.659668, 8.858140, -12.346886, -6.431424, P, D, 0.853798, 2.043311, 3.081872, 1.134332, 0.197980
6, 6, STUART-BROAD, DEVON-CONWAY, L, 82.205, 6.50, 0.44, 0.58, 0.81, 2.23, 1.44, 0, 0.000, 0.000, 12:50:01, 2022/06/13, -0.637967, 8.534437, -12.265462, -6.685573, N, N, 0.746400, 2.023789, 4.299961, 0.877727, 0.245362
7, 1, JAMES-ANDERSON, WILL-YOUNG, R, 83.722, 5.28, -0.24, -0.07, 0.56, -0.06, 0.47, 0, 0.000, 0.000, 12:50:51, 2022/06/13, -0.572562, 7.155213, -11.545746, -6.571835, P, D, -0.544386, 2.105871, -0.312713, 2.701366, -0.021308
7, 2, JAMES-ANDERSON, WILL-YOUNG, R, 82.648, 6.89, -0.31, -0.17, 0.53, 0.21, -0.53, 1, 22.000, -41.000, 12:51:26, 2022/06/13, -0.458002, 6.115679, -12.203580, -7.904834, P, D, -0.618598, 2.065711, 0.156568, 3.023747, 0.008289
7, 3, JAMES-ANDERSON, DEVON-CONWAY, L, 82.786, 9.53, 0.58, 0.29, 1.27, -0.23, 1.12, 2, -111.000, 56.000, 12:52:05, 2022/06/13, -0.647564, 10.224955, -14.112508, -11.095580, E, D, 0.998022, 2.024388, -0.117280, 4.166422, -0.003740
7, 4, JAMES-ANDERSON, DEVON-CONWAY, L, 83.661, 9.62, 0.44, -0.16, 1.05, -0.37, 0.41, 0, 0.000, 0.000, 12:53:21, 2022/06/13, -0.556075, 8.603817, -14.110779, -10.968975, N, N, 0.999754, 2.008497, -0.328484, 3.579296, -0.009965
7, 5, JAMES-ANDERSON, DEVON-CONWAY, L, 82.147, 8.91, 0.47, -0.12, 1.05, 0.50, -0.54, 0, 0.000, 0.000, 12:53:58, 2022/06/13, -0.589677, 9.062923, -13.754752, -9.790164, E, D, 1.042693, 2.009847, 1.756106, 1.991776, 0.061395
7, 6, JAMES-ANDERSON, DEVON-CONWAY, L, 85.136, 8.84, 0.49, -0.20, 1.18, 0.16, -1.00, 1, -100.000, -87.000, 12:54:34, 2022/06/13, -0.659893, 9.775282, -13.388476, -10.070719, P, A, 1.056985, 2.027081, 0.958171, 3.577902, 0.033614
8, 1, STUART-BROAD, DEVON-CONWAY, L, 79.721, 7.52, 0.49, 0.32, 0.99, 1.51, -0.27, 0, 0.000, 0.000, 12:55:30, 2022/06/13, -0.659371, 9.348375, -12.846540, -7.781940, N, N, 0.840323, 2.018671, 3.313654, 0.985085, 0.156879
8, 2, STUART-BROAD, DEVON-CONWAY, L, 80.220, 7.20, 0.31, 0.24, 0.78, 1.03, 1.27, 0, 0.000, 0.000, 12:56:05, 2022/06/13, -0.581535, 8.114313, -12.691368, -7.449607, P, D, 0.765645, 2.023340, 2.223598, 1.525487, 0.119942
8, 3, STUART-BROAD, DEVON-CONWAY, L, 80.598, 6.71, 0.50, 0.69, 0.59, 1.59, 1.97, 0, 0.000, 0.000, 12:56:38, 2022/06/13, -0.495182, 6.652189, -12.331512, -7.013519, N, N, 0.733463, 2.030310, 2.950448, 1.685577, 0.171851
8, 4, STUART-BROAD, DEVON-CONWAY, L, 80.728, 7.98, 0.54, 0.62, 1.11, 2.04, 1.25, 0, 0.000, 0.000, 12:57:14, 2022/06/13, -0.679810, 10.062765, -13.365294, -8.238977, N, N, 0.861124, 2.019273, 4.440892, 0.677578, 0.197952
